"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"1",1979,338.449,0.633,338.767,0.628,338.966,0.563,339.078,0.462,339.14,0.348,339.185,0.244,339.234,0.161,339.293,0.103,339.356,0.073,339.418,0.068,339.472,0.08
"2",1979.020833,338.869,0.643,339.2,0.639,339.41,0.575,339.528,0.476,339.588,0.366,339.622,0.265,339.646,0.186,339.669,0.129,339.692,0.091,339.714,0.075,339.732,0.082
"3",1979.041667,339.249,0.639,339.579,0.636,339.787,0.574,339.902,0.478,339.957,0.372,339.981,0.277,339.991,0.201,339.995,0.144,339.998,0.102,339.999,0.08,340.001,0.084
"4",1979.0625,339.58,0.617,339.893,0.614,340.087,0.555,340.19,0.462,340.237,0.358,340.254,0.265,340.261,0.191,340.266,0.136,340.27,0.098,340.274,0.08,340.278,0.085
"5",1979.083333,339.859,0.578,340.143,0.575,340.314,0.519,340.4,0.429,340.437,0.328,340.454,0.236,340.47,0.163,340.491,0.113,340.516,0.083,340.542,0.076,340.564,0.086
"6",1979.104167,340.097,0.53,340.347,0.528,340.491,0.477,340.558,0.393,340.586,0.298,340.607,0.212,340.639,0.143,340.688,0.096,340.747,0.074,340.808,0.074,340.861,0.088
"7",1979.125,340.313,0.486,340.532,0.486,340.65,0.441,340.7,0.369,340.722,0.285,340.749,0.21,340.801,0.151,340.881,0.11,340.978,0.085,341.076,0.079,341.162,0.089
"8",1979.145833,340.532,0.459,340.73,0.463,340.829,0.426,340.866,0.363,340.883,0.293,340.915,0.231,340.982,0.18,341.086,0.138,341.213,0.105,341.342,0.087,341.455,0.09
"9",1979.166667,340.773,0.464,340.964,0.469,341.056,0.435,341.084,0.374,341.095,0.309,341.125,0.249,341.197,0.2,341.311,0.155,341.451,0.116,341.594,0.092,341.719,0.091
"10",1979.1875,340.984,0.515,341.183,0.518,341.288,0.474,341.33,0.4,341.35,0.32,341.383,0.249,341.451,0.191,341.557,0.145,341.687,0.109,341.82,0.091,341.937,0.093
"11",1979.208333,341.286,0.575,341.496,0.577,341.611,0.523,341.658,0.434,341.674,0.332,341.694,0.239,341.739,0.166,341.812,0.116,341.905,0.088,342.001,0.083,342.086,0.095
"12",1979.229167,341.596,0.645,341.83,0.646,341.963,0.584,342.021,0.48,342.037,0.36,342.039,0.249,342.047,0.161,342.069,0.103,342.102,0.078,342.138,0.082,342.171,0.098
"13",1979.25,341.889,0.699,342.152,0.699,342.312,0.636,342.388,0.53,342.406,0.411,342.391,0.303,342.359,0.219,342.32,0.157,342.28,0.115,342.242,0.097,342.211,0.103
"14",1979.270833,342.134,0.706,342.424,0.712,342.613,0.656,342.713,0.566,342.742,0.466,342.717,0.379,342.651,0.305,342.556,0.237,342.447,0.173,342.339,0.123,342.246,0.108
"15",1979.291667,342.3,0.649,342.609,0.661,342.822,0.624,342.948,0.559,342.996,0.492,342.976,0.432,342.895,0.37,342.768,0.297,342.614,0.215,342.46,0.144,342.324,0.109
"16",1979.3125,342.363,0.519,342.672,0.538,342.899,0.522,343.048,0.491,343.123,0.458,343.125,0.423,343.06,0.374,342.94,0.305,342.786,0.222,342.626,0.144,342.486,0.103
"17",1979.333333,342.303,0.333,342.589,0.353,342.812,0.356,342.976,0.353,343.081,0.345,343.126,0.33,343.113,0.295,343.048,0.241,342.95,0.176,342.842,0.117,342.744,0.089
"18",1979.354167,342.111,0.142,342.346,0.153,342.542,0.157,342.704,0.158,342.836,0.155,342.937,0.146,343.007,0.129,343.048,0.105,343.066,0.082,343.068,0.072,343.065,0.077
"19",1979.375,341.784,0.174,341.944,0.171,342.089,0.163,342.23,0.156,342.378,0.154,342.538,0.153,342.711,0.145,342.892,0.127,343.067,0.103,343.225,0.083,343.356,0.079
"20",1979.395833,341.333,0.325,341.403,0.347,341.476,0.37,341.574,0.401,341.717,0.431,341.924,0.441,342.197,0.417,342.523,0.354,342.871,0.264,343.2,0.169,343.48,0.1
"21",1979.416667,340.78,0.416,340.752,0.475,340.735,0.549,340.764,0.631,340.874,0.699,341.096,0.724,341.441,0.683,341.888,0.577,342.387,0.425,342.87,0.26,343.287,0.127
"22",1979.4375,340.143,0.424,340.016,0.532,339.896,0.667,339.83,0.805,339.87,0.912,340.063,0.95,340.428,0.898,340.943,0.756,341.54,0.553,342.13,0.332,342.643,0.15
"23",1979.458333,339.444,0.378,339.221,0.54,338.987,0.729,338.8,0.912,338.729,1.046,338.839,1.094,339.159,1.032,339.667,0.866,340.288,0.629,340.917,0.374,341.468,0.16
"24",1979.479167,338.703,0.374,338.387,0.561,338.028,0.769,337.694,0.963,337.473,1.102,337.444,1.148,337.651,1.079,338.077,0.901,338.642,0.651,339.236,0.383,339.762,0.159
"25",1979.5,337.939,0.504,337.53,0.658,337.036,0.827,336.534,0.988,336.128,1.103,335.916,1.133,335.954,1.053,336.231,0.873,336.673,0.626,337.167,0.364,337.615,0.149
"26",1979.520833,337.169,0.714,336.664,0.825,336.026,0.924,335.343,1.016,334.734,1.079,334.312,1.077,334.144,0.986,334.232,0.806,334.507,0.571,334.861,0.327,335.194,0.136
"27",1979.541667,336.409,0.922,335.806,1.003,335.024,1.037,334.161,1.053,333.349,1.053,332.714,1.01,332.335,0.902,332.222,0.725,332.317,0.505,332.517,0.285,332.723,0.124
"28",1979.5625,335.679,1.08,334.981,1.142,334.069,1.131,333.046,1.086,332.056,1.028,331.232,0.947,330.662,0.821,330.366,0.647,330.293,0.444,330.349,0.245,330.436,0.116
"29",1979.583333,335.002,1.165,334.226,1.216,333.217,1.177,332.079,1.091,330.957,0.991,329.992,0.879,329.275,0.742,328.832,0.572,328.62,0.385,328.554,0.21,328.539,0.111
"30",1979.604167,334.412,1.175,333.598,1.217,332.548,1.16,331.364,1.049,330.185,0.921,329.147,0.79,328.341,0.647,327.797,0.488,327.48,0.321,327.316,0.174,327.217,0.106
"31",1979.625,333.94,1.126,333.14,1.157,332.119,1.086,330.967,0.955,329.809,0.806,328.768,0.661,327.929,0.52,327.323,0.379,326.927,0.244,326.679,0.135,326.507,0.104
"32",1979.645833,333.621,1.04,332.896,1.058,331.978,0.973,330.936,0.825,329.875,0.655,328.895,0.494,328.068,0.354,327.428,0.237,326.963,0.146,326.635,0.096,326.389,0.105
"33",1979.666667,333.435,0.951,332.853,0.952,332.11,0.856,331.253,0.696,330.355,0.515,329.49,0.346,328.714,0.212,328.06,0.129,327.534,0.096,327.125,0.098,326.803,0.113
"34",1979.6875,333.49,0.868,333.088,0.867,332.559,0.783,331.924,0.65,331.223,0.514,330.498,0.405,329.789,0.33,329.126,0.272,328.538,0.216,328.041,0.16,327.637,0.127
"35",1979.708333,333.735,0.811,333.536,0.823,333.239,0.78,332.841,0.718,332.349,0.667,331.776,0.628,331.144,0.575,330.484,0.487,329.843,0.367,329.268,0.24,328.788,0.145
"36",1979.729167,334.149,0.774,334.15,0.812,334.074,0.824,333.896,0.839,333.6,0.86,333.174,0.857,332.624,0.799,331.982,0.674,331.31,0.5,330.681,0.31,330.146,0.158
"37",1979.75,334.693,0.741,334.866,0.805,334.972,0.866,334.976,0.938,334.844,1.001,334.548,1.017,334.082,0.952,333.479,0.8,332.809,0.587,332.162,0.356,331.605,0.165
"38",1979.770833,335.316,0.695,335.615,0.775,335.851,0.866,335.985,0.97,335.974,1.055,335.784,1.079,335.403,1.01,334.86,0.848,334.23,0.618,333.606,0.37,333.065,0.163
"39",1979.791667,335.964,0.621,336.338,0.709,336.646,0.813,336.855,0.927,336.922,1.018,336.813,1.045,336.513,0.979,336.048,0.82,335.488,0.596,334.924,0.355,334.433,0.154
"40",1979.8125,336.585,0.527,336.985,0.612,337.318,0.716,337.556,0.829,337.664,0.917,337.611,0.942,337.383,0.883,337.002,0.74,336.53,0.536,336.049,0.32,335.628,0.143
"41",1979.833333,337.14,0.431,337.53,0.508,337.852,0.605,338.086,0.708,338.207,0.787,338.188,0.811,338.018,0.76,337.714,0.636,337.329,0.463,336.933,0.278,336.584,0.133
"42",1979.854167,337.608,0.351,337.97,0.422,338.265,0.51,338.48,0.602,338.596,0.673,338.593,0.695,338.459,0.652,338.212,0.545,337.893,0.398,337.562,0.243,337.271,0.13
"43",1979.875,337.987,0.307,338.319,0.37,338.586,0.45,338.78,0.533,338.885,0.596,338.884,0.616,338.768,0.578,338.551,0.484,338.271,0.355,337.981,0.222,337.725,0.132
"44",1979.895833,338.304,0.311,338.61,0.365,338.856,0.433,339.031,0.506,339.122,0.561,339.113,0.578,338.997,0.542,338.789,0.453,338.523,0.333,338.248,0.213,338.007,0.136
"45",1979.916667,338.589,0.376,338.881,0.416,339.111,0.462,339.269,0.514,339.343,0.555,339.319,0.565,339.193,0.527,338.98,0.442,338.714,0.325,338.443,0.211,338.206,0.143
"46",1979.9375,338.888,0.509,339.173,0.531,339.39,0.54,339.528,0.552,339.58,0.563,339.536,0.557,339.396,0.513,339.176,0.428,338.91,0.316,338.643,0.208,338.411,0.147
"47",1979.958333,339.184,0.701,339.499,0.705,339.716,0.668,339.833,0.621,339.853,0.579,339.781,0.541,339.627,0.484,339.408,0.4,339.157,0.296,338.911,0.2,338.7,0.151
"48",1979.979167,339.554,0.916,339.887,0.907,340.092,0.828,340.176,0.715,340.158,0.604,340.06,0.513,339.902,0.433,339.702,0.348,339.487,0.259,339.284,0.183,339.113,0.152
"49",1980,340.036,0.513,340.142,0.37,340.181,0.222,340.185,0.123,340.175,0.124,340.15,0.158,340.099,0.175,340.016,0.168,339.908,0.149,339.791,0.135,339.683,0.138
"50",1980.020833,340.438,0.623,340.481,0.451,340.46,0.271,340.426,0.141,340.411,0.116,340.416,0.141,340.426,0.15,340.425,0.139,340.406,0.124,340.372,0.121,340.332,0.132
"51",1980.041667,340.38,0.448,340.505,0.331,340.58,0.212,340.638,0.132,340.702,0.114,340.775,0.121,340.849,0.122,340.913,0.114,340.961,0.107,340.992,0.113,341.009,0.13
"52",1980.0625,340.729,0.452,340.838,0.331,340.905,0.212,340.967,0.133,341.049,0.114,341.155,0.119,341.274,0.119,341.392,0.11,341.497,0.105,341.58,0.112,341.641,0.131
"53",1980.083333,341.091,0.439,341.198,0.32,341.268,0.202,341.342,0.126,341.441,0.109,341.569,0.117,341.715,0.117,341.86,0.108,341.99,0.103,342.095,0.111,342.174,0.13
"54",1980.104167,341.438,0.412,341.554,0.298,341.639,0.186,341.73,0.114,341.848,0.101,341.992,0.11,342.146,0.111,342.293,0.102,342.418,0.098,342.515,0.106,342.585,0.125
"55",1980.125,341.745,0.376,341.877,0.27,341.983,0.166,342.098,0.1,342.238,0.096,342.393,0.109,342.546,0.111,342.676,0.103,342.775,0.095,342.841,0.102,342.881,0.118
"56",1980.145833,341.998,0.34,342.143,0.243,342.272,0.146,342.414,0.094,342.578,0.104,342.747,0.127,342.895,0.135,343.003,0.125,343.064,0.11,343.087,0.105,343.089,0.114
"57",1980.166667,342.174,0.31,342.334,0.22,342.486,0.134,342.657,0.099,342.846,0.128,343.032,0.162,343.18,0.175,343.268,0.165,343.296,0.139,343.28,0.117,343.245,0.115
"58",1980.1875,342.291,0.287,342.452,0.204,342.617,0.128,342.811,0.112,343.027,0.155,343.235,0.198,343.393,0.216,343.477,0.203,343.487,0.169,343.448,0.136,343.389,0.124
"59",1980.208333,342.353,0.272,342.5,0.194,342.667,0.126,342.878,0.124,343.121,0.178,343.36,0.226,343.544,0.245,343.643,0.23,343.659,0.19,343.618,0.151,343.554,0.136
"60",1980.229167,342.402,0.27,342.514,0.193,342.664,0.129,342.879,0.133,343.146,0.19,343.42,0.241,343.645,0.259,343.783,0.241,343.83,0.198,343.813,0.158,343.766,0.146
"61",1980.25,342.429,0.267,342.495,0.192,342.62,0.131,342.834,0.138,343.126,0.194,343.444,0.241,343.724,0.257,343.92,0.236,344.022,0.193,344.049,0.157,344.038,0.15
"62",1980.270833,342.443,0.26,342.459,0.19,342.557,0.132,342.774,0.139,343.094,0.191,343.464,0.234,343.81,0.245,344.077,0.222,344.247,0.181,344.335,0.149,344.371,0.148
"63",1980.291667,342.444,0.246,342.415,0.182,342.494,0.131,342.719,0.14,343.075,0.187,343.502,0.225,343.916,0.231,344.256,0.202,344.496,0.152,344.645,0.107,344.733,0.089
